title	text	tag	date
IMA founder has at least 14 properties worth 500 cr	Mohammed Mansoor Khan, the elusive managing director and CEO of the beleaguered IMA Group, is said to own at least 14 properties in various parts of Bengaluru whose value runs into crores. BBMP documents show that Khan had been paying Rs 8.44 lakh in property tax every year. The properties are located in upmarket areas like Jayanagar, Benson Road, Park Road, Alexander Street, Jayanagar 7th Block, St John’s Church Road, Lady Curzon Road and HBR Layout. Officials in the BBMP’s revenue wing estimate the value of these properties at more than Rs 500 crore going by the current market value. All the properties are registered in his name, an official said on the condition of anonymity. BBMP officials have not ruled out the possibility of other properties registered in the name of the IMA Group and are trying to identify them. Out of the 14 properties, the IMA headquarters on Lady Curzon Road accounted for the highest property tax payment at Rs 4 lakh per year.	IMA fraud,	 Jun 14 2019
Man who invested Rs 9L in IMA dies of heart attack	A 54-year-old man who had invested in the IMA Group died of a heart attack at a private hospital on Thursday evening. His colleague attributed the death to the IMA scam as his daughter was to marry next month. Abdul Pasha, from Vinayaka Nagar, Mysuru Road, collapsed at a factory in Peenya where he worked. His colleague, Mallikarjun, rushed him to a hospital where he died later. Three years ago, Pasha invested Rs 9 lakh in the company which has now gone bust. He had married off two of his four daughters. The third was to get married next month. He had made all the arrangements for the wedding. Pasha applied for the withdrawal of his principal amount after the company reduced the monthly dividend a few months ago. But he hadn't get the money back. On June 10, when the news broke that the IMA founder Mohammed Mansoor Khan had gone missing and the company shut down, Pasha went into depression and filed a police complaint. He reported for work on Thursday but appeared depressed. He told his colleagues that he'd lost all his savings. He took rest after lunch but suddenly collapsed around 4 pm.	IMA fraud,Chit fund,	 Jun 14 2019
BBMP, cops to meet over seized vehicles	"Mayor Gangambike Mallikarjun on Thursday inspected the Bingipura landfill where a parking yard of vehicles seized by the Bangalore Traffic Police (BTP) will be developed shortly. ""A meeting will be held with BTP soon to discuss the issue of parking of seized and unclaimed vehicles in the city at the ongoing levelling of the Bingipura landfill,"" she said.She further said: ""Currently, the levelling of the landfill surface is almost nearing completion. The details will be collected by BTP about the seized vehicles that are parked in front of the police stations in the city,"" she said.The BBMP had been instructed by Chief Secretary T M Vijay Bhaskar to hand over a site to BTP to make space for the seized vehicles, for which the Palike identified the land in Bingipura near Anekal taluk.""A kilometre-long compound has already been constructed and the levelling of the ground is completed by 90%. Thus, only fencing and construction of a 400-m compound wall is pending and that will be completed within a month. The work is being taken up at a cost of RS 4.50 crore under the mayor's funds,"" she said."	seized vehicles,BBMP,	 Jun 14 2019
More women opt for MBA course at IIMB	The Indian Institute of Management Bangalore (IIMB)' two-year full-time MBA programme has witnessed the highest number of admission of female candidates.Compared to the previous batch, this time there is a 10 % rise in the number of female candidates seeking admission. During the previous batch, 28% of women candidates were admitted to the course, which is 37% for the batch of 2019-2021.According to the IIMB, over 441 candidates got admission to the post-graduate programme (PGP) in Management for the academic year 2019-2021, of which 165 are women candidates.G Sabarinathan, Chair, Admissions and Financial Aid, in his address, mentioned that in the new PGP batch has 18% freshers and the average work experience is two years. As many as 18% of the students are non-engineers.“This diverse cohort will lead to a very interesting community,” he said.This batch also includes around 21 students with special needs. In addition to this, 25 students have joined the doctoral programme for this academic year.The inauguration and the orientation sessions for the students began on Monday and will go on till Saturday. There will be sessions with faculty members, alumni and other senior officials of the institute regarding an introduction to the programme, administrative matters, IIMB’s other activities, centres, committees and facilities, as well as invited talks, case discussions, outdoor activities among others, a press release by IIMB said.	Bengaluru,Indian Institute of Management,IIMB,	 Jun 13 2019
Citizens suffer as fallen trees, branches lie uncleared	Trees and branches that were brought down by rain last week and causing havoc on the roads have still not been cleared by the Bruhat Bengaluru Mahanagara Palike (BBMP).At many places, the fallen trees and branches have been piled up on the road side, blocking footpaths and clogging drains at some places. Residents fear a bigger mess in the event of rains, which are likely to fall anytime soon.Around 415 trees, 1,381 branches and many electric poles were uprooted due to heavy rain and wind last week in areas like Hanumanthnagar, Srinagar, Hoskerehalli and Raja Rajeshwari Nagar. Though the civic bodies acted swiftly and cleared the paths, it is yet to shift fallen trees and branches.“The fallen trees and branches are turning hotspots for snakes and insects. We feel scared to walk by these fallen trees and branches. They are also blocking drains. If it rains anytime soon, then there will be water-logging,” Savitha, a resident of Raja Rajeshwari Nagar told DH.There are many areas where the BBMP has still not cleared the fallen trees. Vishwanath, a resident of Hanumanthnagar said, “When we ask BBMP to clear the mess, officials say they are short of men and machines. Trees have not been cleared even a week after they were uprooted and they are causing a stench in the locality.”When the BBMP forest cell was asked about the situation, they denied there was any shortage of staff or vehicles for the woek.“The situation is because of the unexpected rain. We did not expect it to create so much havoc in the city. We have a team to address these issues. I have also deputed engineers from other zones to clear the mess. The trees will be cleared by this week,” Chola Raju, deputy conservator of forest, BBMP Forest Cell told DH.	monsoon,BBMP,Rain damage,Benglauru,	 Jun 13 2019
B'luru, Valencia to be World Design Capitals	The World Design Organisation on Tuesday announced that Bengaluru and Valencia (Spain) have been shortlisted to become World Design Capital (WDC) 2022 in their pursuit to be recognised for the participatory value of design-led innovation in their cities.The shortlist was established by the WDC 2022 Selection Committee comprising international experts in design, according to a release.“Both these cities, have very different design histories and urban challenges yet both are inspiring cases that reflect the impact of design on the wellbeing of their communities,” stated Luisa Bocchietto, WDO president and member of the WDC Selection Committee, the release adds.“For WDO, the merit of the WDC programme is that it aims to leverage a city’s particular design narrative, as well as promotes the diversity of design practices worldwide,” according to the releaseAs shared in their respective bids, Bengaluru, is an emerging city that is driven by urgent needs to address a variety of local challenges through design, whilst Valencia is poised to demonstrate a rich and vibrant history of design effective initiatives.Following this announcement, both cities will be visited by WDO representatives to gain further knowledge of the design communities supporting each bid.The final selection will be announced on 11 October 2019 in Hyderabad (India) during WDO’s 31st World Design Assembly.The World Design Organization, formerly the International Council of Societies of Industrial Design (Icsid), is an international non-governmental organisation founded in 1957 to promote the profession of industrial design.World Design Capital, designated every two years by WDO, recognises cities for their effective use of design to drive economic, social, cultural, and environmental development.	Bengaluru,Valencia,	 Jun 13 2019
Poultry farmers seek dropping of notification	The Karnataka Poultry Farmers and Breeders Association (KPFBA) on Wednesday urged the Government of India to immediately drop the latest notification — ‘Prevention of Cruelty to Animals (egg-laying hens) Rules 2019’ — saying it would have an adverse impact on the entire poultry sector in the country.The members of the association alleged that the government was heeding the advice of animal welfare NGOs who have little knowledge about poultry farming.As per the new rules, the size of cages at poultry farms should not be less than 550 sq cm per bird and 6-8 birds per cage. It also regulated the use of antibiotics only for therapeutic use and under the supervision of a veterinarian, and called for regular inspection of poultry farms by authorised personnel who should follow proper bio-security protocols.The poultry sector has been given five years to switch over to new systems.“The parameters recommended regarding space requirement, behavioural needs and other welfare concerns are based on studies conducted in the European Union nations, which are not relevant to India. NGOs which have lobbied for a ban of cages have painted a wrong picture of the poultry sector.Healthy birds mean healthy business for poultry farmers and they have been continuously improving practices in farms to maintain hygiene and other conditions. Bird losses for a farmer mean loss of livelihood,” said Deve Gowda, vice-president of the World Poultry Science Association (India Branch).	KPFBA,poultry farming,	 Jun 13 2019
‘Morbid obesity, damaged knee trap patients’	The morbid obesity of a 71-year-old retired man has put the spotlight on a growing epidemic of unhealthy weight-gain, a common feature among India’s adults.The man, an Indian national residing in the United States, has been referred to Manipal Hospitals for a knee replacement surgery, after another hospital had refused to treat him due to concerns of medical complications.Dr Lokesh Veerappa, a joint replacement surgeon designated as the treating physician, identified a larger lifestyle flaw as the bedridden patient used a CPAP breathing machine to compensate for his respiratory problems.“His obesity was at the root of all his (health) problems,” Dr Veerappa said. “He stopped walking, which led to the worsening of his health, and was the onset of depression.” The combination of knee osteoarthritis and morbid obesity traps patients in a vicious cycle of bad health and lack of exercise, Dr Veerappa explained, as the knees suffer early damage and prevent the patient from exercising and losing weight.Dr Veerappa said the patient regained mobility following the successful knee replacement and lost several kilos of weight.A study by the Indian Council of Medical Research–India Diabetes noted how the country’s growing affluence is transforming the health issues faced by citizens. “Under-nutrition due to poverty, which dominated in the past, is being rapidly replaced by obesity associated with affluence, resulting in an estimated 88 million individuals in the country who are overweight,” it said.The study also said 135 million individuals have generalised obesity, 153 million with abdominal obesity and 107 million with combined obesity.City-based endocrinologist Dr A Sharda said the trend that afflicts all age groups reflects the changing nature of the Indian dietary preferences. The shrinking public space for exercise and recreation is a factor in the growing sedentary lifestyle of people, she added.	knee pain,Obesity,Health Care,	 Jun 13 2019
New battery-run ambulances launched at KIA	To quickly respond to medical emergencies, the Bangalore International Airport Limited (BIAL) launched an indoor ambulance service at the Kempegowda International Airport (KIA).Initially, two battery-operated ambulances will be part of the service. Each will be powered by professionally trained and experienced medical technicians attached to the airport's medical partner Aster Hospital, according to BIAL.The ambulances will be available 24/7, providing emergency medical service within the airport's domestic and international terminals.Equipped with oxygen cylinders and other essential equipment, the ambulance will enable faster medical care before moving patient safely to Aster Hospital for further care, a BIAL statement said.Thomas Hoff Andersson, BIAL's chief operating officer, said: “Treatment starts as soon as the patient is onboard the ambulance and continues on the journey to the hospital. Our aim is to provide the best care for passengers who need emergency support.”Having catered to over 33 million passengers in the financial year 2018-19, the Kempegowda International Airport has emerged as the country's third busiest airport.A quick response system for medical emergencies is considered a must-have for such a large aviation facility.	Kempegowda International Airport,ambulance,	 Jun 12 2019
How 2 octogenarians are making toilets at a govt school	"Octogenarians Padmanabha Arkalgud and S V S Rao felt disgusted to see the pathetic condition of the toilet at the government higher primary school in Byrasandra.The school's 160 students have to use the toilet by turn as it has just one entrance. Also, one girl child must stand guard when her school mate goes in.""It was too painful,"" said Arkalgud, who began a crowdfunding drive with Rao to ensure the school has five toilets with separate entrances and running water. ""To minimise the inconvenience to the students, we plan to start the construction immediately."" While the project would cost them Rs 2.75 lakh, the duo had already raised Rs 31,000 donated by a temple trust in Jayanagar. They are reaching out to the public. Arkalgud and Rao are also active in solving issues dogging the community at large.Arkalgud was founder-president of the Citizens Forum, Yelahanka New Town, besides being a trustee of the Puttenahalli Lake rejuvenation trust.Rao, a retired general manager of Reserve Bank of India, fought single-handedly to restore and recover the Byrasandra Lake."	Bengaluru,toilet facilities,	 Jun 11 2019
